Test Year,NB Acc,LR Acc,XGB Acc,Seed Acc,NB Ll,LR Ll,XGB Ll
2003.0,0.671875,0.703125,0.6875,0.6640625,0.7679757042714137,0.5509723724946607,0.5574836548184976
2004.0,0.734375,0.75,0.734375,0.7421875,0.6241029667538851,0.516292537474863,0.540384705964243
2005.0,0.71875,0.71875,0.6953125,0.6875,0.6374601185322583,0.5326322916497721,0.5521775581000838
2006.0,0.671875,0.65625,0.6484375,0.6640625,0.8337489496185682,0.5796037872003307,0.6147150631877594
2007.0,0.78125,0.78125,0.8203125,0.796875,0.372478710088053,0.44971475409846495,0.44496593985240906
2008.0,0.765625,0.796875,0.7265625,0.765625,0.6763788655783038,0.49323387284403686,0.5210400554788066
2009.0,0.75,0.703125,0.7421875,0.7421875,0.5213002747535471,0.5096721697381075,0.5064606097439537
2010.0,0.703125,0.65625,0.6875,0.671875,0.7896716997386021,0.5726148413625245,0.5692512168752728
2011.0,0.5970149253731343,0.6417910447761194,0.6044776119402985,0.6716417910447762,0.8487668783217348,0.6182617089743903,0.6507462713478217
2012.0,0.6865671641791045,0.6865671641791045,0.7164179104477612,0.7089552238805971,0.7867918765731347,0.5660672619484559,0.5612548657401062
2013.0,0.6716417910447762,0.6716417910447762,0.6567164179104478,0.664179104477612,0.8894113217894873,0.5929382037295972,0.6039853138543332
2014.0,0.6567164179104478,0.6417910447761194,0.664179104477612,0.6417910447761194,0.8141327750868345,0.5771198365766487,0.5818569928185263
2015.0,0.7611940298507462,0.7761194029850746,0.746268656716418,0.7761194029850746,0.6019722205993405,0.5091878521458931,0.5246629922358848
2016.0,0.746268656716418,0.7164179104477612,0.6417910447761194,0.664179104477612,0.7258025104933756,0.5623997845699168,0.6073945159815363
2017.0,0.746268656716418,0.7164179104477612,0.7313432835820896,0.753731343283582,0.5953067965959221,0.5442026702486643,0.5150500549309289
2018.0,0.7014925373134329,0.7014925373134329,0.7388059701492538,0.664179104477612,0.7849581904024061,0.5890446125313475,0.5729953135544462
Avg,0.7102524486940298,0.7073664878731343,0.70263671875,0.7049469449626866,0.7043912411998041,0.5477474098492296,0.5577765702802882
STD,0.047660214783174636,0.047377463889007786,0.05098533648274623,0.04821371091081984,0.1338601028928468,0.04222390591766828,0.0483495748874977
